KAMOMEMARU,japanese,numazu port,numazudon,千本港町101 千本一ビル １階中央,Senbonminatocho 101 senbon.bd １F,C,11,0,15,0,-1,-1,-1,-1,138.857832,35.082829
Uogashi Maruten Uogashiten,japanese,numazu port,kaisen-kakiagedon,千本港町１１４−1,Senbonminatocho 114-1,,7,0,21,30,-1,-1,-1,-1,138.858411,35.082774
Marukan,japanese,numazu port,himono-teishoku,千本港町128-1,Senbonminatocho 128-1,B,7,30,16,0,-1,-1,-1,-1,138.857467,35.083584
Mariru,western,station south,omurice,市場町６−25,Ichibacho 6-25,G,9,0,20,0,-1,-1,-1,-1,138.861803,35.095605
Mami house,café/bakery,station south,donut,大手町５丁目８−1,Otemachi 5 Chome-8-1,G,7,30,18,30,-1,-1,-1,-1,138.858063,35.101196
Milky way,café/bakery,numazu port,purin,千本港町117,Senbonminatocho 117,,11,0,15,0,-1,-1,-1,-1,138.857695,35.081885
SUN! SUN! SUNSHINE CAFE,café/bakery,station south,character soda,大手町３丁目１−1,Otemachi 3 Chome-1-1,,11,0,20,30,-1,-1,-1,-1,138.859691,35.102028
Chuzi's hotdog,western,station south,hotdog,西条町33,Saijocho 33,D,11,30,21,0,-1,-1,-1,-1,138.855071,35.10168
Yuzunoya,western,station south,escarope(katsukare),添地町２−7 大興ビル 3 階,Soechicho 2−7,A,11,30,20,0,14,0,17,0,138.856729,35.101589
AKAKARA NUMAZU,japanese,station north,motsu nabe,米山町１−5,Yoneyamacho 1-5,,11,0,2,0,-1,-1,-1,-1,138.862182,35.105176
Orandakan shimogawara,western,station south,yokisoba,下河原町1146-1,Shimogawaracho 1146-1,A,9,0,20,15,-1,-1,-1,-1,138.858035,35.090978
Otkon miyabi,japanese,station south,okonomiyaki,大手町５丁目３−14,Otemachi 5 Chome-3-14,B,17,0,0,0,-1,-1,-1,-1,138.858318,35.100886
Watanabe shoten,japanese,station south,bacon,真砂町２３−12,Masagocho 23-12,C,6,0,13,0,-1,-1,-1,-1,138.852438,35.09916
Kanan,café/bakery,station north,shucream,東椎路926,Higashishiiji 926,B,10,0,19,0,-1,-1,-1,-1,138.834307,35.122254
Koganehonten,western,station south,tonkatsu,大手町５丁目１１−8,Otemachi 5 Chome-11-8,A,11,30,20,0,14,0,17,0,138.857126,35.10085
Takoyaki sabochan,japanese,station south,takoyaki,大手町５丁目９−1,Otemachi 5 Chome-9-1,,11,30,23,0,-1,-1,-1,-1,138.858287,35.101655
Hachifuku,japanese,station south,yakiniku,添地町64,Soechicho 64,B,11,0,1,0,15,0,17,0,138.857347,35.101904
Fukuya numazu,café/bakery,station south,italian cake,御幸町１７−17,Miyukicho 17-17,G,10,0,18,0,-1,-1,-1,-1,138.863465,35.095266
Hosaka,café/bakery,station south,japanese cookie,大手町５丁目２−9,Otemachi 5 Chome-2-9,,10,0,19,0,-1,-1,-1,-1,138.858648,35.101225
Hinosha,japanese,station south,yakisoba,丸子町748-9,Marukocho 748-9,B,11,0,19,30,14,0,17,0,138.849617,35.10149
Antre,japanese,station south,mikan,大手町１丁目１−1,Otemachi 1 Chome-1-1,,9,0,19,0,-1,-1,-1,-1,138.859777,35.10276
Yamagishi Meat Shop,japanese,station south,koroke,新町４１０−1,Shincho 410-1,G,8,0,19,0,-1,-1,-1,-1,138.856854,35.094017
Sawayaka,japanese,station north,hamburg stake,神田町６−26,Kandacho 6-26,,11,0,22,30,-1,-1,-1,-1,138.86709,35.118088
Tonny's honolulu,western,numazu port,hawaian,千本港町１２８−3 沼津魚市場INO 魚食館 2F,Senbonminatocho 128-3 INO 2F,,11,0,22,0,-1,-1,-1,-1,138.855607,35.081329
Futaba Sushi,japanese,numazu port,sushi,千本港町121-8,Senbonminatocho 121-8,B,11,0,20,0,14,0,16,30,138.858092,35.082542
FUMINO,japanese,numazu port,kaisendon,千本港町109 ダイノブセンターＣ棟 1F,Senbonminatocho 109 1F,B,6,0,16,30,-1,-1,-1,-1,138.858394,35.083197
Kaitensushi maruishi,japanese,station north,sushi,高島本町１−5 イシバシプラザ,Takashimahoncho 1−5 ishibashi plaza,,10,0,20,0,-1,-1,-1,-1,138.857939,35.108014
Hachiya numazu,chinese,station south,dumpling,大手町５丁目７−12,Otemachi 5 Chome-7-12,G,17,0,0,0,-1,-1,-1,-1,138.857523,35.100161
Hama grilled Shin-chan,japanese,numazu port,grilled shell,千本港町83,Senbonminatocho 83,B,11,0,22,0,-1,-1,-1,-1,138.857843,35.08415
Hamanomai BiVi numazu,bar/izakaya,station north,japanese alcohol,大手町１丁目１３−9 BiVi沼津1F,Otemachi 1 Chome−13−9 BiVi numazu 1F,,15,0,1,0,-1,-1,-1,-1,138.861096,35.103948
Toriu,japanese,station south,unagidon,大手町５丁目２−5,Otemachi 5 Chome-2-5,D,11,0,21,0,-1,-1,-1,-1,138.858973,35.101323
ramen kurogane,noodle,station south,ramen,大手町５丁目８−2,Otemachi 5 Chome-8-2,E,11,0,15,0,-1,-1,-1,-1,138.858121,35.100979
Kyomaru Unagi Restaurant,japanese,numazu port,unagidon,春日町33-7,Kasugacho 33-7,B,11,0,20,30,15,0,17,0,138.859204,35.084364
