츠지소 상점,구멍가게,UCHIURA,하나마루,内浦三津538,Uchiuramito 538,B,8,0,18,0,-1,-1,-1,-1,138.898443,35.025467
아카카라 누마즈점,퓨전음식 체인점,AREA5,루비,米山町1-5,Yoneyamacho 1-5,,11,0,1,0,-1,-1,-1,-1,138.862137,35.104957
카모메마루,일식점,AREA2,다이아,千本港町101 千本一ビル1階,Senbonminatocho 101 1F,C,11,0,21,0,15,0,17,0,138.857821,35.082802
후지이,문방구,AREA1,요시코,通横町6,Toriyokocho 6,G,9,0,18,0,-1,-1,-1,-1,138.857732,35.096619
리바쥬,제과점 ， 카페,AREA3,치카,下香貫柿原2885-2,Shimokanukikakihara 2885-2,,10,0,18,0,-1,-1,-1,-1,138.870756,35.074957
롯톤,레저 ， BBQ식당,AREA1,리코,上土町10,Agetsuchicho 10,,10,0,18,0,-1,-1,-1,-1,138.858524,35.097437
누마즈 그랜드호텔,호텔,AREA1,치카,大手町3丁目6-12,Otemachi 3chome 6-12,,0,0,24,0,-1,-1,-1,-1,138.86078,35.100591
아키신 상점,수산물 판매점,UCHIURA,마리,内浦重寺45,Uchiurashigedera 45,F,10,0,17,0,-1,-1,-1,-1,138.894839,35.033788
아베리,빙수가게,AREA1,요시코,大手町５丁目７−５,Otemachi 5chome 7-5,,11,0,17,0,-1,-1,-1,-1,138.858085,35.100093
만요온천,온천,OTHER,카난,岡宮1208-1,Okanomiya 1208-1,,0,0,24,0,-1,-1,-1,-1,138.871665,35.135166
마루니차업,전통차 판매점,AREA2,하나마루,千本港町128-1 沼津みなと新鮮館内,Senbonminatocho 128-1,B,9,0,16,0,-1,-1,-1,-1,138.857416,35.083614
아니메이트 누마즈점,만화 상품점,AREA1,요우,大手町 5丁目9 -21 マルトモビル1Ｆ,Otemachi 5chome 9-21 ,,11,0,20,0,-1,-1,-1,-1,138.858041,35.10172
마츠우라 주점,주류 판매점,AREA1,카난,大手町3-9-1,Otemachi 3chome 9-1,C,9,30,19,30,-1,-1,-1,-1,138.859109,35.099519
호텔 리버사이드,호텔,AREA1,요시코,上土町100-1,Agetsuchicho 100-1,,0,0,24,0,-1,-1,-1,-1,138.858464,35.096884
식당 야마야,일식점,UCHIURA,루비,内浦三津199-4,Uchiuramito 199-4,,11,0,19,0,15,0,17,0,138.898936,35.02416
오타포목점,전통 의류점,AREA5,리코,高島町3-3,Takashimacho 3-3,B,10,0,19,0,-1,-1,-1,-1,138.85848,35.10482
여관 하마유장,여관,NISHIURA,다이아,西浦江梨986,Nishiuraenashi 986,,9,0,17,0,-1,-1,-1,-1,138.786568,35.023735
아카이케 카 코뮤니케시스템즈,카오디오,AREA2,마리,旭町19,Asahicho 19,G,9,0,18,0,-1,-1,-1,-1,138.854887,35.092811
THE·BLUEWATER,경양식점,AREA1,치카,魚町15,Uocho 15,B,11,0,22,0,-1,-1,-1,-1,138.857853,35.09508
선주 타케타마루,일식점,AREA2,하나마루,千本港町115-4,Senbonminatocho 115-4,,11,0,18,0,-1,-1,-1,-1,138.858661,35.082137
엔도신문포,신문배달,AREA1,요우,大手町5丁目11-3 ラピュター5F,Otemachi 5chome 11-3 5F,G,9,0,17,30,-1,-1,-1,-1,138.857213,35.101033
계란말이 기무라야,계란말이 전문점,AREA2,리코,千本港町115-4,Senbonminatocho 115-4,B,11,30,15,30,-1,-1,-1,-1,138.858273,35.082246
스기나가 수산,수산물 판매점,AREA2,루비,千本中町35,Senbonnakacho 35,ABCDEFG,-1,-1,-1,-1,-1,-1,-1,-1,138.856765,35.085714
길의 역 구루라헤다,휴게소,OTHER,마리,戸田1294-3,Heda 1294-3,,8,15,22,0,-1,-1,-1,-1,138.786662,34.97122
coffee 사쿠라,카페,AREA2,리코,千本緑町1-1,Senbonmidoricho 1-1,C,11,0,16,0,-1,-1,-1,-1,138.851501,35.093043
스시암사이토 미나토순채가점,일식점,AREA2,요우,千本港町115-4,Senbonminatocho 115-4,D,11,30,14,0,-1,-1,-1,-1,138.858425,35.08229
누마즈RAKUUN,종합엔터테인먼트,AREA1,치카,大手町3-4-1 1階西側,Otemachi 3chome 4-1 1F,,7,0,24,0,-1,-1,-1,-1,138.859591,35.101393
CB카레 키친,카레전문점,AREA3,하나마루,下香貫藤井原1653-1,Shimokanukifujiibara 1653-1,D,11,0,20,0,-1,-1,-1,-1,138.876028,35.079016
THE 3RD PLANET BiVi누마즈점,오락실,AREA1,카난,大手町1-1-5 BiVi　3階 (北駅）,Otemachi 1chome 1-5 BiVi 3F (north),,10,0,24,0,-1,-1,-1,-1,138.86113,35.104032
치도리건어물센터,수산물 판매점,AREA2,시이타케,千本港町128,Senbonminatocho 128,,9,0,18,0,-1,-1,-1,-1,138.857102,35.084095
누마즈 고요테이 기념공원,문화재,AREA3,다이아,下香貫島郷2802-1,Shimokanukitogo 2802-1,,9,0,16,30,-1,-1,-1,-1,138.871564,35.072536
호텔 누마즈캐슬,호텔,AREA5,요시코,日の出町1-1,Hinodecho 1-1,ABCDEFG,-1,-1,-1,-1,-1,-1,-1,-1,138.866567,35.108837
우치우라 어업협동조합,어업협동조합,UCHIURA,요우,内浦三津88-34,Uchiuramito 88-34,FG,9,0,15,30,-1,-1,-1,-1,138.897849,35.02278
가라오케 라디오시티 누마즈역북점,노래방,AREA5,다이아,米山町1-5,Yoneyamacho 1-5,,0,0,24,0,-1,-1,-1,-1,138.862156,35.104948
이시다차업,전통차 판매점,AREA5,마리,高島町12-5,Takashimacho 12-5,G,9,0,18,0,-1,-1,-1,-1,138.860186,35.105613
시라칸수 카페,카페,AREA4,루비,上香貫三園町1381－3,Kamikanukimisonocho 1381-3,D,11,0,18,0,-1,-1,-1,-1,138.867841,35.085818
사스나카나가사와수산,수산물 판매점,SHIZUURA,카난,獅子浜92,Shishihama 92,G,9,0,19,0,13,0,17,0,138.884126,35.053048
마스요네,수산물 판매점,SHIZUURA,치카,獅子浜22-18,Shishihama 22-18,,9,0,18,0,-1,-1,-1,-1,138.885676,35.049741
다이와로이넷 호텔 누마즈,호텔,AREA1,요시코,大手町1-1-4(プラサ ヴェルデ、北口）,Otemachi 1chome 1-4 Plaza Verde,,0,0,24,0,-1,-1,-1,-1,138.861524,35.104089
누마즈 오테마치상점가,상점가,AREA1,치카,大手町3-5-21(1Fロビー),Otemachi 3chome 5-21 (1F),,8,0,22,0,-1,-1,-1,-1,138.859292,35.100629
오카다금어점,애완동물가게,AREA1,루비,本町29,Honcho 29,C,10,0,19,0,-1,-1,-1,-1,138.856499,35.095713
후지큐시티버스,버스회사,AREA1,카난,大手町1-1-3,Otemachi 1 chome 1-3,G,10,0,18,0,-1,-1,-1,-1,138.86084,35.102279
미니스톱 누마즈우치우라점,편의점,UCHIURA,하나마루,内浦小海91-10,Uchiurakoumi 91-10,,0,0,24,0,-1,-1,-1,-1,138.893083,35.028144
스이센가쿠,여관,AREA3,리코,下香貫林ノ下2031-5,Shimokanukihayashinoshita 2031-4,,0,0,24,0,-1,-1,-1,-1,138.881359,35.075369
점보엔쵸 누마즈점,잡화점,AREA3,요시코,下香貫前原1481-2,Shimokanukimaehara 1481-2,,9,30,19,0,-1,-1,-1,-1,138.871241,35.079994
아케이드 후르츠,농산물 판매점,AREA1,치카,町方町58,Machikatamachi 58,C,9,30,19,30,-1,-1,-1,-1,138.857086,35.096856
하고로모장,여관,NISHIURA,요우,西浦江梨325-2,Nishiuraenashi 325-2,,8,0,17,0,-1,-1,-1,-1,138.786115,35.024447
코코치호텔 누마즈,호텔,AREA5,다이아,高島町1-12,Takashimacho 1-12,,0,0,24,0,-1,-1,-1,-1,138.858918,35.104212
이즈하코네택시,택시회사,OTHER,마리,伊豆の国市南条773-2,Izunokunishi nanzo773-2,,7,0,19,0,-1,-1,-1,-1,138.94733,35.039806
야마카수산직매소,수산물 판매점,AREA5,하나마루,五月町4-23 加藤パレス1F,Satsukicho 4-23 Katopalace 1F,A,11,0,18,0,-1,-1,-1,-1,138.862066,35.11486
고기발&와인 베르사유의 발,양식점,AREA1,치카,大手町4-5-4 遊楽館ビル1F,Otemachi 4chome 5-4 Yurakukan 1F,,11,30,19,0,-1,-1,-1,-1,138.858493,35.098525
세리자와고지로 기념관,박물관,AREA3,하나마루,我入道蔓陀ケ原５１７−１,Ganyudomandagahara 517-1,A,9,0,16,30,-1,-1,-1,-1,138.861177,35.074893
토츄켄,도시락,AREA1,카난,大手町1-1-1,Otemachi 1chome 1-1,,7,0,19,0,-1,-1,-1,-1,138.859737,35.102685
cafe umiiro,카페,AREA2,루비,千本港町19-5,Senbonminatocho 19-5,A,10,0,16,0,-1,-1,-1,-1,138.856535,35.084195
